 ; ;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017
 ;Willow Ptarmigan;0;0;..;0;0;..;0;0;0
Flekkefjord;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Vennesla;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;..;0;0;0;0;..
Songdalen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;..
Søgne;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;0;0;0;0
Marnardal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;0;0;0;0;0
Åseral;;;;;;;;;;
 ;Willow Ptarmigan;1150;900;1300;900;400;700;1150;850;900
Audnedal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;0;0;0;0
Lindesnes;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;..;..;0;0;0;0
Lyngdal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;0;0;0;0
Hægebostad;;;;;;;;;;
 ;Willow Ptarmigan;..;..;150;150;..;..;150;100;150
Kvinesdal;;;;;;;;;;
 ;Willow Ptarmigan;700;450;600;400;250;350;450;500;500
Sirdal;;;;;;;;;;
 ;Willow Ptarmigan;1900;2000;2250;1200;650;1050;1500;1100;1100
Unknown municipalities, Vest-Agder;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Eigersund;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;0
Sandnes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;0;0;0
Stavanger;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;0;0;0;0;0
Haugesund;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Sokndal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Lund;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Bjerkreim;;;;;;;;;;
 ;Willow Ptarmigan;..;100;150;100;..;..;100;..;..
Hå;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;0;0;0;0
Klepp;;;;;;;;;;
 ;Willow Ptarmigan;0;..;0;0;0;0;0;0;0
Time;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;..;0;0;0;0;0
Gjesdal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Sola;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Randaberg;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Forsand;;;;;;;;;;
 ;Willow Ptarmigan;150;150;200;..;100;..;..;..;..
Strand;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;0;0
Hjelmeland;;;;;;;;;;
 ;Willow Ptarmigan;100;150;200;..;..;..;..;..;..
Suldal;;;;;;;;;;
 ;Willow Ptarmigan;250;400;400;150;150;100;200;..;..
Sauda;;;;;;;;;;
 ;Willow Ptarmigan;150;200;300;200;100;150;250;..;..
Finnøy;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Rennesøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;0;0;0;0
Kvitsøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bokn;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;0;0;0;0
Tysvær;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;..;0;0;0;0;0
Karmøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Utsira;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Vindafjord (1965-2005);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ølen (2002-2005);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Vindafjord;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Unknown municipalities, Rogaland;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bergen;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Etne;;;;;;;;;;
 ;Willow Ptarmigan;150;200;200;150;..;150;250;150;200
Ølen (-2001);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sveio;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Bømlo;;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;0
Stord;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;0;0;0;0
Fitjar;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tysnes;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;..;0;0;0;0;0
Kvinnherad;;;;;;;;;;
 ;Willow Ptarmigan;100;200;150;100;..;..;..;..;..
Jondal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;0;..
Odda;;;;;;;;;;
 ;Willow Ptarmigan;350;350;450;400;200;200;200;150;..
Ullensvang (-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ullensvang;;;;;;;;;;
 ;Willow Ptarmigan;150;250;200;..;..;..;..;..;..
Eidfjord;;;;;;;;;;
 ;Willow Ptarmigan;1250;1000;1150;750;300;700;1000;..;400
Ulvik;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;..;0;0
Granvin;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Voss;;;;;;;;;;
 ;Willow Ptarmigan;650;650;950;750;500;500;700;250;450
Kvam;;;;;;;;;;
 ;Willow Ptarmigan;100;150;200;..;..;..;100;..;..
Fusa;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;0;..
Samnanger;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Os (Hord.);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;0;0;0
Austevoll;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sund;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fjell;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Askøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Laksevåg (1918-1971);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fana (-1971);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Arna (1964-1971);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Vaksdal;;;;;;;;;;
 ;Willow Ptarmigan;150;150;350;150;..;100;150;..;..
Modalen;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Osterøy;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;..;..;0;..;0;0
Åsane (-1971);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Meland;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Øygarden;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Radøy;;;;;;;;;;
