"ID"	"Total"	"TotalTerrestrial"	"nuTypes"	"Forest"	"Open"	"HabitatClass"
"669"	966	1212	1162	13	110	1052	14
"670"	967	2266	2233	15	375	1858	17
"671"	968	1444	1444	14	226	1218	14
"672"	969	1953	1952	18	575	1377	17
"673"	970	2286	2076	20	138	1938	17
"674"	971	1928	1889	18	318	1571	14
"675"	972	2144	2140	16	463	1677	17
"676"	973	1374	1364	15	41	1323	9
"677"	974	1696	1696	15	459	1237	11
"678"	975	1876	1876	16	553	1323	9
"679"	976	2311	2309	15	897	1412	9
"680"	977	2442	2410	16	717	1693	9
"681"	978	2691	2687	14	724	1963	9
"682"	979	1672	1599	20	287	1312	14
